name,type,composition
Core 1,O,HexNac(1)Hex(1)Neu5Ac(0)Neu5Gc(0)Fuc(0)
Core 1+Neu5Ac or GalNac-6S-3G or GalNac-3SG,O,HexNac(1)Hex(1)Neu5Ac(1)Neu5Gc(0)Fuc(0)
Core 1+2 Neu5Ac or GalNac-6S-3SG,O,HexNac(1)Hex(1)Neu5Ac(2)Neu5Gc(0)Fuc(0)
M5,N,HexNac(2)Hex(5)Neu5Ac(0)Neu5Gc(0)Fuc(0)
M6,N,HexNac(2)Hex(6)Neu5Ac(0)Neu5Gc(0)Fuc(0)
M7,N,HexNac(2)Hex(7)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A1G0F,N,HexNac(3)Hex(3)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A1G1,N,HexNac(3)Hex(4)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A1G1F,N,HexNac(3)Hex(4)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A1S1,N,HexNac(3)Hex(4)Neu5Ac(1)Neu5Gc(0)Fuc(0)
A1S1F,N,HexNac(3)Hex(4)Neu5Ac(1)Neu5Gc(0)Fuc(1)
M5-A1G1,N,HexNac(3)Hex(6)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A1S1M5,N,HexNac(3)Hex(6)Neu5Ac(1)Neu5Gc(0)Fuc(0)
A2G0F,N,HexNac(4)Hex(3)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A2G1,N,HexNac(4)Hex(4)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A1G1FB,N,HexNac(4)Hex(4)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A2S1G0,N,HexNac(4)Hex(4)Neu5Ac(1)Neu5Gc(0)Fuc(0)
A2G2,N,HexNac(4)Hex(5)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A2G2F,N,HexNac(4)Hex(5)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A2S1G1,N,HexNac(4)Hex(5)Neu5Ac(1)Neu5Gc(0)Fuc(0)
A2S1G1F,N,HexNac(4)Hex(5)Neu5Ac(1)Neu5Gc(0)Fuc(1)
A2S1G1F2,N,HexNac(4)Hex(5)Neu5Ac(1)Neu5Gc(0)Fuc(2)
A2S1G1F3,N,HexNac(4)Hex(5)Neu5Ac(1)Neu5Gc(0)Fuc(3)
A2S2,N,HexNac(4)Hex(5)Neu5Ac(2)Neu5Gc(0)Fuc(0)
A2S2F,N,HexNac(4)Hex(5)Neu5Ac(2)Neu5Gc(0)Fuc(1)
A2G0FB or A3G0F,N,HexNac(5)Hex(3)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A2G1B or A3G1,N,HexNac(5)Hex(4)Neu5Ac(0)Neu5Gc(0)Fuc(0)
A3S1G2,N,HexNac(5)Hex(6)Neu5Ac(1)Neu5Gc(0)Fuc(0)
A3S1G2F,N,HexNac(5)Hex(6)Neu5Ac(1)Neu5Gc(0)Fuc(1)
A3S2G1,N,HexNac(5)Hex(6)Neu5Ac(2)Neu5Gc(0)Fuc(0)
A3S2G1F,N,HexNac(5)Hex(6)Neu5Ac(2)Neu5Gc(0)Fuc(1)
A3S3,N,HexNac(5)Hex(6)Neu5Ac(3)Neu5Gc(0)Fuc(0)
A3S3F,N,HexNac(5)Hex(6)Neu5Ac(3)Neu5Gc(0)Fuc(1)
A4G4F,N,HexNac(6)Hex(7)Neu5Ac(0)Neu5Gc(0)Fuc(1)
A4S2G2,N,HexNac(6)Hex(7)Neu5Ac(2)Neu5Gc(0)Fuc(0)
A3S2G1F+LacN1,N,HexNac(6)Hex(7)Neu5Ac(2)Neu5Gc(0)Fuc(1)
A3S3F+LacN1,N,HexNac(6)Hex(7)Neu5Ac(3)Neu5Gc(0)Fuc(1)
none,N,none
none,O,none
